domain,tags,category,description,is_active
gmail.com,"[""email"",""communication""]",productivity,Gmail - Email service,True
calendar.google.com,"[""calendar"",""scheduling"",""productivity""]",productivity,Google Calendar - Online calendar,True
aws.amazon.com,"[""cloud"",""infrastructure"",""aws""]",cloud,Amazon Web Services - Cloud platform,True
azure.microsoft.com,"[""cloud"",""infrastructure"",""azure""]",cloud,Microsoft Azure - Cloud platform,True
cloud.google.com,"[""cloud"",""infrastructure"",""gcp""]",cloud,Google Cloud Platform - Cloud services,True
digitalocean.com,"[""cloud"",""hosting"",""infrastructure""]",cloud,DigitalOcean - Cloud infrastructure,True
heroku.com,"[""cloud"",""hosting"",""paas""]",cloud,Heroku - Platform as a Service,True
vercel.com,"[""cloud"",""hosting"",""frontend""]",cloud,Vercel - Frontend cloud platform,True
netlify.com,"[""cloud"",""hosting"",""frontend""]",cloud,Netlify - Web development platform,True
shopify.com,"[""ecommerce"",""store"",""business""]",business,Shopify - E-commerce platform,True
woocommerce.com,"[""ecommerce"",""wordpress"",""business""]",business,WooCommerce - WordPress e-commerce,True
stripe.com,"[""payment"",""api"",""fintech""]",business,Stripe - Payment processing,True
paypal.com,"[""payment"",""fintech""]",business,PayPal - Online payment system,True
squareup.com,"[""payment"",""pos"",""business""]",business,Square - Payment and POS system,True
wordpress.com,"[""blog"",""cms"",""website""]",cms,WordPress.com - Blog and website platform,True
wordpress.org,"[""cms"",""open-source"",""website""]",cms,WordPress.org - Open source CMS,True
wix.com,"[""website"",""builder"",""tool""]",cms,Wix - Website builder,True
squarespace.com,"[""website"",""builder"",""design""]",cms,Squarespace - Website builder,True
webflow.com,"[""website"",""design"",""cms""]",cms,Webflow - Visual web design platform,True
twilio.com,"[""communication"",""api"",""sms""]",api,Twilio - Communication platform API,True
sendgrid.com,"[""email"",""api"",""communication""]",api,SendGrid - Email API,True
mailchimp.com,"[""email"",""marketing"",""communication""]",api,Mailchimp - Email marketing platform,True
hubspot.com,"[""marketing"",""crm"",""business""]",business,HubSpot - Marketing and sales platform,True
salesforce.com,"[""crm"",""business"",""sales""]",business,Salesforce - Customer relationship management,True
travis-ci.com,"[""ci"",""testing"",""development""]",development,Travis CI - Continuous integration,True
circleci.com,"[""ci"",""testing"",""development""]",development,CircleCI - Continuous integration,True
vnexpress.net,"[""news"",""vietnam"",""media""]",news,VnExpress - Vietnamese news,True
tuoitre.vn,"[""news"",""vietnam"",""media""]",news,Tuổi Trẻ - Vietnamese news,True
thanhnien.vn,"[""news"",""vietnam"",""media""]",news,Thanh Niên - Vietnamese news,True
zingnews.vn,"[""news"",""vietnam"",""media""]",news,Zing News - Vietnamese news,True
dantri.com.vn,"[""news"",""vietnam"",""media""]",news,Dân Trí - Vietnamese news,True
kenh14.vn,"[""news"",""entertainment"",""vietnam""]",news,Kenh14 - Entertainment news,True
vtv.vn,"[""media"",""tv"",""vietnam""]",media,VTV - Vietnam Television,True
momo.vn,"[""payment"",""fintech"",""vietnam""]",business,MoMo - E-wallet Vietnam,True
zalo.me,"[""social"",""messaging"",""vietnam""]",social,Zalo - Messaging app,True
tiki.vn,"[""ecommerce"",""shopping"",""vietnam""]",business,Tiki - E-commerce Vietnam,True
shopee.vn,"[""ecommerce"",""shopping"",""vietnam""]",business,Shopee Vietnam,True
lazada.vn,"[""ecommerce"",""shopping"",""vietnam""]",business,Lazada Vietnam,True
sanook.com,"[""news"",""thailand"",""media""]",news,Sanook - Thai portal,True
kapook.com,"[""news"",""thailand"",""media""]",news,Kapook - Thai portal,True
pantip.com,"[""community"",""forum"",""thailand""]",social,Pantip - Thai forum,True
thairath.co.th,"[""news"",""thailand"",""media""]",news,Thai Rath - News,True
mthai.com,"[""news"",""entertainment"",""thailand""]",news,MThai - News & entertainment,True
nytimes.com,"[""news"",""us"",""media""]",news,The New York Times,True
cnn.com,"[""news"",""us"",""media""]",news,CNN - News,True
theguardian.com,"[""news"",""uk"",""media""]",news,The Guardian,True
dailymail.co.uk,"[""news"",""uk"",""media""]",news,Daily Mail,True
lemonde.fr,"[""news"",""france"",""media""]",news,Le Monde,True
lefigaro.fr,"[""news"",""france"",""media""]",news,Le Figaro,True
spiegel.de,"[""news"",""germany"",""media""]",news,Der Spiegel,True
bild.de,"[""news"",""germany"",""media""]",news,BILD,True
elpais.com,"[""news"",""spain"",""media""]",news,El País,True
repubblica.it,"[""news"",""italy"",""media""]",news,La Repubblica,True
corriere.it,"[""news"",""italy"",""media""]",news,Corriere della Sera,True
baidu.com,"[""search"",""china"",""engine""]",search,Baidu - Search engine,True
qq.com,"[""portal"",""china"",""media""]",media,QQ - Portal,True
taobao.com,"[""shopping"",""china"",""ecommerce""]",business,Taobao - E-commerce,True
tmall.com,"[""shopping"",""china"",""ecommerce""]",business,Tmall - E-commerce,True
jd.com,"[""shopping"",""china"",""ecommerce""]",business,JD.com - E-commerce,True
weibo.com,"[""social"",""microblog"",""china""]",social,Weibo - Microblogging,True
bilibili.com,"[""video"",""entertainment"",""china""]",media,Bilibili - Video platform,True
zhihu.com,"[""q&a"",""china"",""knowledge""]",social,Zhihu - Q&A,True
yahoo.co.jp,"[""portal"",""japan"",""search""]",search,Yahoo! Japan,True
rakuten.co.jp,"[""shopping"",""japan"",""ecommerce""]",business,Rakuten - E-commerce,True
nikkei.com,"[""news"",""japan"",""business""]",news,Nikkei - Business news,True
amazon.co.jp,"[""shopping"",""japan"",""ecommerce""]",business,Amazon Japan,True
straitstimes.com,"[""news"",""singapore"",""media""]",news,The Straits Times,True
channelnewsasia.com,"[""news"",""singapore"",""media""]",news,CNA - Channel NewsAsia,True
gov.sg,"[""government"",""services"",""singapore""]",gov,Government of Singapore,True
dbs.com.sg,"[""banking"",""finance"",""singapore""]",finance,DBS Bank,True
uob.com.sg,"[""banking"",""finance"",""singapore""]",finance,UOB Bank,True
ocbc.com,"[""banking"",""finance"",""singapore""]",finance,OCBC Bank,True
grab.com,"[""superapp"",""ridehailing"",""singapore""]",business,Grab - Super app,True
sport-wiki7429.com.ph,"[""knowledge"",""encyclopedia"",""reference""]",reference,Sport Wiki7429 - Reference,True
zone-blog2622.com.ph,"[""video"",""streaming"",""entertainment"",""media"",""creative""]",media,Zone Blog2622 - Media,True
news-deal1877.com.ph,"[""media"",""news"",""tech"",""startup"",""culture""]",news,News Deal1877 - News,True
hub7957.com.ph,"[""api"",""documentation"",""reference""]",documentation,Hub7957 - Documentation,True
wiki-bank7940.com.ph,"[""reference"",""knowledge"",""encyclopedia"",""dictionary""]",reference,Wiki Bank7940 - Reference,True
trip-trade8948.ph,"[""booking"",""hotels"",""flights"",""travel""]",travel,Trip Trade8948 - Travel,False
hotel1769.com.ph,"[""travel"",""booking"",""hotels""]",travel,Hotel1769 - Travel,True
mart9395.com.ph,"[""shopping"",""marketplace"",""retail"",""deals""]",shopping,Mart9395 - Shopping,True
deal-cook4682.ph,"[""marketplace"",""retail"",""deals"",""shopping""]",shopping,Deal Cook4682 - Shopping,True
blog-shop9534.ph,"[""marketing"",""payment"",""crm""]",business,Blog Shop9534 - Business,True
cook4225.ph,"[""entertainment"",""media"",""creative"",""streaming"",""video""]",media,Cook4225 - Media,True
code-express3867.com.ph,"[""tech"",""media"",""culture""]",news,Code Express3867 - News,True
portalradio8993.ph,"[""creative"",""media"",""video"",""entertainment"",""streaming""]",media,Portalradio8993 - Media,True
tv-times7531.com.ph,"[""tech"",""startup"",""media"",""news"",""culture""]",news,Tv Times7531 - News,True
radio6109.com.ph,"[""media"",""streaming"",""creative"",""video""]",media,Radio6109 - Media,True
play2690.ph,"[""streaming"",""creative"",""video"",""entertainment""]",media,Play2690 - Media,True
portal-travel7028.ph,"[""flights"",""travel"",""hotels""]",travel,Portal Travel7028 - Travel,False
trade1411.com.ph,"[""discussion"",""social"",""microblog"",""networking""]",social,Trade1411 - Social,True
sale2045.ph,"[""shopping"",""retail"",""deals"",""marketplace""]",shopping,Sale2045 - Shopping,True
bank4495.ph,"[""trading"",""finance"",""banking"",""investment""]",finance,Bank4495 - Finance,True
triptravel2573.ph,"[""hotels"",""flights"",""travel"",""booking""]",travel,Triptravel2573 - Travel,True
plus5076.com.ph,"[""portfolio"",""ux"",""photos"",""ui"",""typography""]",design,Plus5076 - Design,True
hub9945.com.ph,"[""streaming"",""entertainment"",""video"",""media"",""creative""]",media,Hub9945 - Media,True
portal77.org,"[""tool"",""notes"",""email""]",productivity,Portal77 - Productivity,True
plus7544.com.ph,"[""search"",""web"",""engine""]",search,Plus7544 - Search,True
media-hub2483.ph,"[""course"",""interactive"",""free"",""learning"",""education""]",education,Media Hub2483 - Education,True
talk7084.ph,"[""community"",""microblog"",""social""]",social,Talk7084 - Social,True
forum-video688.ph,"[""media"",""creative"",""video""]",media,Forum Video688 - Media,True
music-trade733.com.ph,"[""video"",""streaming"",""creative""]",media,Music Trade733 - Media,True
health-code8721.com.ph,"[""git"",""development"",""repository"",""ide""]",development,Health Code8721 - Development,True
sport2024.it,"[""video"",""media"",""creative""]",media,Sport2024 - Media,True
data9.com.cn,"[""paas"",""infrastructure"",""cloud"",""hosting""]",cloud,Data9 - Cloud,True
health7086.ph,"[""infrastructure"",""paas"",""hosting"",""cloud""]",cloud,Health7086 - Cloud,True
travel7609.ph,"[""hotels"",""travel"",""flights"",""booking""]",travel,Travel7609 - Travel,True
learn-dev7529.ph,"[""programming"",""development"",""ide""]",development,Learn Dev7529 - Development,True
flight-plus5357.com.ph,"[""booking"",""travel"",""flights"",""hotels""]",travel,Flight Plus5357 - Travel,True
times-plus1573.ph,"[""tech"",""culture"",""startup"",""media"",""news""]",news,Times Plus1573 - News,True
review8027.com.ph,"[""video"",""media"",""creative"",""entertainment""]",media,Review8027 - Media,True
code-plus3613.ph,"[""code"",""repository"",""git"",""development"",""ci""]",development,Code Plus3613 - Development,True
media-plus8515.ph,"[""news"",""media"",""startup"",""tech"",""culture""]",news,Media Plus8515 - News,True
hub1666.ph,"[""development"",""code"",""git"",""ide""]",development,Hub1666 - Development,True
bank5707.ph,"[""trading"",""banking"",""finance"",""investment""]",finance,Bank5707 - Finance,True
learnhotel7357.com.ph,"[""learning"",""tutorial"",""course"",""interactive"",""education""]",education,Learnhotel7357 - Education,True
hoststore2748.com.ph,"[""shopping"",""deals"",""retail""]",shopping,Hoststore2748 - Shopping,True
plus7566.ph,"[""documentation"",""web"",""api""]",documentation,Plus7566 - Documentation,False
forum1601.ph,"[""social"",""discussion"",""community"",""microblog"",""networking""]",social,Forum1601 - Social,True
world9638.com.ph,"[""web"",""documentation"",""reference"",""api""]",documentation,World9638 - Documentation,True
times-hub9723.com.ph,"[""tech"",""culture"",""news"",""media""]",news,Times Hub9723 - News,True
host4521.com.ph,"[""hosting"",""cloud"",""infrastructure"",""paas""]",cloud,Host4521 - Cloud,True
guide8161.com.ph,"[""encyclopedia"",""knowledge"",""reference""]",reference,Guide8161 - Reference,True
tech56.com,"[""news"",""media"",""startup"",""tech"",""culture""]",news,Tech56 - News,False
dev-music2095.com.ph,"[""ide"",""code"",""ci"",""repository"",""development""]",development,Dev Music2095 - Development,True
flight-zone6657.com.ph,"[""booking"",""flights"",""travel""]",travel,Flight Zone6657 - Travel,True
cloudlearn5724.com.ph,"[""free"",""education"",""tutorial"",""course"",""interactive""]",education,Cloudlearn5724 - Education,True
express130.ph,"[""media"",""culture"",""news"",""tech"",""startup""]",news,Express130 - News,True
wiki9258.com.ph,"[""encyclopedia"",""knowledge"",""reference"",""dictionary""]",reference,Wiki9258 - Reference,True
mart-plus4728.com.ph,"[""marketplace"",""shopping"",""deals""]",shopping,Mart Plus4728 - Shopping,True
forumcloud2326.ph,"[""cloud"",""paas"",""hosting"",""infrastructure""]",cloud,Forumcloud2326 - Cloud,True
flight3299.ph,"[""travel"",""flights"",""hotels""]",travel,Flight3299 - Travel,True
tech-tv5806.ph,"[""culture"",""tech"",""media"",""news""]",news,Tech Tv5806 - News,True
review1641.com.ph,"[""video"",""media"",""entertainment"",""creative"",""streaming""]",media,Review1641 - Media,True
times1800.com.ph,"[""culture"",""media"",""startup"",""tech"",""news""]",news,Times1800 - News,True
world1416.com.ph,"[""knowledge"",""encyclopedia"",""dictionary""]",reference,World1416 - Reference,False
blog-food3667.ph,"[""streaming"",""creative"",""entertainment"",""video""]",media,Blog Food3667 - Media,True
tvcommunity7467.ph,"[""media"",""creative"",""streaming""]",media,Tvcommunity7467 - Media,True
times-market5716.ph,"[""tech"",""news"",""media"",""startup"",""culture""]",news,Times Market5716 - News,True
trip3274.com.ph,"[""travel"",""hotels"",""flights"",""booking""]",travel,Trip3274 - Travel,True
tech-docs2083.ph,"[""tech"",""news"",""media"",""startup""]",news,Tech Docs2083 - News,True
guide-review3564.ph,"[""dictionary"",""encyclopedia"",""knowledge"",""reference""]",reference,Guide Review3564 - Reference,True
trade6110.ph,"[""esports"",""community"",""gaming""]",gaming,Trade6110 - Gaming,True
hotel-mall8685.com.ph,"[""shopping"",""deals"",""retail"",""marketplace""]",shopping,Hotel Mall8685 - Shopping,True
radio6865.ph,"[""video"",""entertainment"",""creative""]",media,Radio6865 - Media,False
tech9841.com.ph,"[""news"",""tech"",""media""]",news,Tech9841 - News,True
tv6576.com.ph,"[""media"",""creative"",""video"",""streaming""]",media,Tv6576 - Media,True
deal2884.ph,"[""retail"",""marketplace"",""shopping""]",shopping,Deal2884 - Shopping,True
tv9974.com.ph,"[""media"",""streaming"",""entertainment"",""video"",""creative""]",media,Tv9974 - Media,True
host-portal5169.com.ph,"[""hosting"",""infrastructure"",""paas""]",cloud,Host Portal5169 - Cloud,True
cloud7512.com.ph,"[""hosting"",""paas"",""cloud""]",cloud,Cloud7512 - Cloud,True
data-store576.ph,"[""deals"",""retail"",""shopping"",""marketplace""]",shopping,Data Store576 - Shopping,True
zone5072.com.ph,"[""retail"",""deals"",""marketplace""]",shopping,Zone5072 - Shopping,True
hotel8502.com.ph,"[""travel"",""booking"",""flights""]",travel,Hotel8502 - Travel,True
deal8744.com.ph,"[""shopping"",""deals"",""marketplace"",""retail""]",shopping,Deal8744 - Shopping,False
hostexpress433.ph,"[""news"",""startup"",""media"",""tech""]",news,Hostexpress433 - News,True
play6053.ph,"[""media"",""entertainment"",""streaming"",""video""]",media,Play6053 - Media,True
portalshop3951.ph,"[""business"",""fintech"",""crm"",""marketing""]",business,Portalshop3951 - Business,True
video1967.ph,"[""media"",""streaming"",""video"",""entertainment""]",media,Video1967 - Media,True
today1089.com,"[""tech"",""news"",""startup"",""culture"",""media""]",news,Today1089 - News,True
guide-sport340.ph,"[""video"",""media"",""creative""]",media,Guide Sport340 - Media,True
docs-music3246.ph,"[""api"",""documentation"",""web""]",documentation,Docs Music3246 - Documentation,True
deal388.ph,"[""marketplace"",""retail"",""deals"",""shopping""]",shopping,Deal388 - Shopping,True
hotel4358.ph,"[""booking"",""hotels"",""travel"",""flights""]",travel,Hotel4358 - Travel,True
tradelearn3856.ph,"[""education"",""interactive"",""tutorial"",""learning"",""free""]",education,Tradelearn3856 - Education,True
tradeshop1196.ph,"[""business"",""ecommerce"",""payment"",""fintech""]",business,Tradeshop1196 - Business,True
portalfood5179.com.ph,"[""video"",""entertainment"",""streaming"",""media""]",media,Portalfood5179 - Media,True
blog-trip3971.com.ph,"[""booking"",""travel"",""hotels""]",travel,Blog Trip3971 - Travel,True
mall-host5778.ph,"[""shopping"",""retail"",""deals"",""marketplace""]",shopping,Mall Host5778 - Shopping,True
docs-tech5870.ph,"[""news"",""tech"",""culture""]",news,Docs Tech5870 - News,True
devfood279.com.ph,"[""programming"",""code"",""git"",""development"",""ide""]",development,Devfood279 - Development,True
media687.ph,"[""reference"",""dictionary"",""knowledge""]",reference,Media687 - Reference,True
forumexpress2724.com.ph,"[""tech"",""media"",""culture"",""news"",""startup""]",news,Forumexpress2724 - News,False
tvmarket9059.ph,"[""video"",""media"",""entertainment"",""creative"",""streaming""]",media,Tvmarket9059 - Media,True
docs3851.com.ph,"[""web"",""api"",""reference"",""documentation""]",documentation,Docs3851 - Documentation,True
sale-hotel2790.ph,"[""shopping"",""retail"",""deals"",""marketplace""]",shopping,Sale Hotel2790 - Shopping,True
talk5700.ph,"[""microblog"",""discussion"",""networking"",""social""]",social,Talk5700 - Social,True
hostvideo4764.com.ph,"[""video"",""streaming"",""media"",""creative"",""entertainment""]",media,Hostvideo4764 - Media,True
cook9430.ph,"[""streaming"",""video"",""media""]",media,Cook9430 - Media,True
daily4207.com.ph,"[""media"",""culture"",""tech"",""startup"",""news""]",news,Daily4207 - News,True
trade6639.ph,"[""fintech"",""marketing"",""crm"",""payment"",""business""]",business,Trade6639 - Business,True
cook2122.com.ph,"[""media"",""streaming"",""video"",""creative"",""entertainment""]",media,Cook2122 - Media,True
sport829.ph,"[""video"",""entertainment"",""streaming""]",media,Sport829 - Media,True
hotel1995.ph,"[""hotels"",""booking"",""travel""]",travel,Hotel1995 - Travel,True
portal489.com.ph,"[""deals"",""retail"",""shopping""]",shopping,Portal489 - Shopping,True
guidemall1491.com.ph,"[""shopping"",""marketplace"",""deals""]",shopping,Guidemall1491 - Shopping,True
tv6875.ph,"[""creative"",""video"",""streaming""]",media,Tv6875 - Media,True
travelbank5425.ph,"[""booking"",""travel"",""hotels"",""flights""]",travel,Travelbank5425 - Travel,True
healthreview3038.ph,"[""video"",""media"",""entertainment"",""creative"",""streaming""]",media,Healthreview3038 - Media,True
sport4862.ph,"[""streaming"",""video"",""creative"",""entertainment""]",media,Sport4862 - Media,True
review2830.ph,"[""media"",""creative"",""streaming"",""video"",""entertainment""]",media,Review2830 - Media,True
cloudlearn2298.ph,"[""course"",""learning"",""education"",""free""]",education,Cloudlearn2298 - Education,True
learntech1591.com.ph,"[""tech"",""news"",""media"",""culture"",""startup""]",news,Learntech1591 - News,True
radio-dev3983.ph,"[""development"",""ci"",""ide"",""code"",""git""]",development,Radio Dev3983 - Development,True
talk2939.ph,"[""networking"",""social"",""community"",""microblog""]",social,Talk2939 - Social,True
wiki9087.ph,"[""reference"",""knowledge"",""encyclopedia""]",reference,Wiki9087 - Reference,True
malltrade5039.com.ph,"[""shopping"",""deals"",""retail"",""marketplace""]",shopping,Malltrade5039 - Shopping,True
tech40.com.ph,"[""tech"",""startup"",""news""]",news,Tech40 - News,True
martmedia5884.ph,"[""marketplace"",""shopping"",""deals""]",shopping,Martmedia5884 - Shopping,True
talktrade7830.ph,"[""discussion"",""networking"",""social""]",social,Talktrade7830 - Social,True
plus-video7165.com.ph,"[""media"",""video"",""entertainment"",""streaming"",""creative""]",media,Plus Video7165 - Media,True
health-code9138.ph,"[""programming"",""ci"",""repository""]",development,Health Code9138 - Development,True
market9154.com.ph,"[""fintech"",""business"",""ecommerce""]",business,Market9154 - Business,True
docsvideo5832.com.ph,"[""reference"",""documentation"",""web""]",documentation,Docsvideo5832 - Documentation,True
plusdeal3624.ph,"[""retail"",""deals"",""marketplace"",""shopping""]",shopping,Plusdeal3624 - Shopping,True
world-sport9763.ph,"[""video"",""entertainment"",""creative""]",media,World Sport9763 - Media,True
hubflight1587.ph,"[""booking"",""flights"",""hotels""]",travel,Hubflight1587 - Travel,True
play7557.ph,"[""streaming"",""entertainment"",""media"",""creative"",""video""]",media,Play7557 - Media,False
flight7801.ph,"[""booking"",""travel"",""flights""]",travel,Flight7801 - Travel,True
marthub7497.ph,"[""retail"",""marketplace"",""deals"",""shopping""]",shopping,Marthub7497 - Shopping,True
newsblog8945.com.ph,"[""culture"",""startup"",""news"",""media"",""tech""]",news,Newsblog8945 - News,True
blog7863.ph,"[""media"",""video"",""entertainment""]",media,Blog7863 - Media,True
reviewblog7196.ph,"[""entertainment"",""creative"",""video"",""media"",""streaming""]",media,Reviewblog7196 - Media,True
talkshop1094.com.ph,"[""fintech"",""marketing"",""business""]",business,Talkshop1094 - Business,True
guide942.com.ph,"[""reference"",""encyclopedia"",""knowledge""]",reference,Guide942 - Reference,True
talk9477.ph,"[""discussion"",""microblog"",""networking"",""community""]",social,Talk9477 - Social,True
shop1415.com,"[""business"",""fintech"",""payment""]",business,Shop1415 - Business,True
zone-cloud826.ph,"[""cloud"",""infrastructure"",""paas"",""hosting""]",cloud,Zone Cloud826 - Cloud,True
trade6848.com.ph,"[""gaming"",""esports"",""community""]",gaming,Trade6848 - Gaming,True
hotel-store6870.ph,"[""deals"",""shopping"",""retail"",""marketplace""]",shopping,Hotel Store6870 - Shopping,True
times644.ph,"[""culture"",""startup"",""tech"",""news"",""media""]",news,Times644 - News,True
flight8562.com.ph,"[""hotels"",""booking"",""flights"",""travel""]",travel,Flight8562 - Travel,True
music5235.com.ph,"[""creative"",""entertainment"",""video"",""media""]",media,Music5235 - Media,True
shop-tv4560.com.ph,"[""media"",""streaming"",""video"",""entertainment""]",media,Shop Tv4560 - Media,True
blogreview2625.ph,"[""media"",""video"",""creative""]",media,Blogreview2625 - Media,True
forum-cloud3354.ph,"[""hosting"",""infrastructure"",""cloud"",""paas""]",cloud,Forum Cloud3354 - Cloud,True
care-mart3583.ph,"[""shopping"",""deals"",""retail""]",shopping,Care Mart3583 - Shopping,True
play5705.com.ph,"[""video"",""creative"",""entertainment""]",media,Play5705 - Media,True
forum9898.com.ph,"[""discussion"",""microblog"",""social""]",social,Forum9898 - Social,True
martmall4291.com.ph,"[""deals"",""marketplace"",""retail""]",shopping,Martmall4291 - Shopping,True
tripcommunity5712.ph,"[""travel"",""hotels"",""booking""]",travel,Tripcommunity5712 - Travel,True
hub9824.com.ph,"[""sms"",""email"",""communication""]",api,Hub9824 - Api,True
